"","id","Name","Code","CVexist"
"2",1," Corn",1,1
"3",2," Cotton",2,1
"4",3," Rice",3,1
"5",4," Sorghum",4,1
"6",5," Soybeans",5,1
"7",6," Sunflower",6,1
"11",10," Pop or Orn Corn",13,1
"12",11," Mint",14,1
"13",12," Barley",21,1
"14",13," Durum Wheat",22,1
"15",14," Spring Wheat",23,1
"16",15," Winter Wheat",24,1
"19",18," Rye",27,1
"20",19," Oats",28,1
"21",20," Millet",29,1
"25",24," Safflower",33,1
"28",27," Alfalfa",36,1
"29",28," Other Hay/Non Alfalfa",37,1
"32",31," Sugarbeets",41,1
"33",32," Dry Beans",42,1
"34",33," Potatoes",43,1
"35",34," Other Crops",44,1
"37",36," Sweet Potatoes",46,1
"38",37," Misc Vegs &amp; Fruits",47,1
"39",38," Watermelons",48,1
"40",39," Onions",49,1
"41",40," Cucumbers",50,1
"44",43," Peas",53,1
"45",44," Tomatoes",54,1
"48",47," Herbs",57,1
"49",48," Clover/Wildflowers",58,1
"50",49," Sod/Grass Seed",59,1
"52",51," Fallow/Idle Cropland",61,1
"56",55," Cherries",66,1
"57",56," Peaches",67,1
"58",57," Apples",68,1
"59",58," Grapes",69,1
"61",60," Other Tree Crops",71,1
"62",61," Citrus",72,1
"63",62," Pecans",74,1
"64",63," Almonds",75,1
"65",64," Walnuts",76,1
"66",65," Pears",77,1
"73",72," Open Water",111,1
"74",73," Perennial Ice/Snow",112,1
"75",74," Developed/Open Space",121,1
"76",75," Developed/Low Intensity",122,1
"77",76," Developed/Med Intensity",123,1
"78",77," Developed/High Intensity",124,1
"79",78," Barren",131,1
"80",79," Deciduous Forest",141,1
"81",80," Evergreen Forest",142,1
"82",81," Mixed Forest",143,1
"83",82," Shrubland",152,1
"84",83," Grassland/Pasture",176,1
"85",84," Woody Wetlands",190,1
"86",85," Herbaceous Wetlands",195,1
"87",86," Pistachios",204,1
"88",87," Triticale",205,1
"89",88," Carrots",206,1
"91",90," Garlic",208,1
"92",91," Cantaloupes",209,1
"94",93," Olives",211,1
"95",94," Oranges",212,1
"96",95," Honeydew Melons",213,1
"97",96," Broccoli",214,1
"98",97," Peppers",216,1
"99",98," Pomegranates",217,1
"100",99," Nectarines",218,1
"101",100," Greens",219,1
"102",101," Plums",220,1
"103",102," Strawberries",221,1
"104",103," Squash",222,1
"106",105," Vetch",224,1
"107",106," Dbl Crop WinWht/Corn",225,1
"108",107," Dbl Crop Oats/Corn",226,1
"109",108," Lettuce",227,1
"110",109," Pumpkins",229,1
"117",116," Dbl Crop WinWht/Sorghum",236,1
"118",117," Dbl Crop Barley/Corn",237,1
"119",118," Dbl Crop WinWht/Cotton",238,1
"123",122," Blueberries",242,1
"125",124," Cauliflower",244,1
"127",126," Radishes",246,1
