RiverName,DivNdId,DivNdElev,DivNdOpt,ElemID,ElemElevAv,ElemElevMax,DistAct
Delta,418,6,418,773,205.25,246,128.85
Delta,418,6,418,774,137.00,223,131.77
Delta,418,6,418,777,192.50,304,139.14
Delta,418,6,418,793,236.50,390,147.54
Delta,418,6,418,796,339.25,660,154.50
Delta,418,6,418,828,414.75,660,162.01
Delta,418,6,418,842,337.25,614,169.51
Delta,418,6,418,859,286.50,342,176.24
Delta,418,6,418,860,221.33,269,177.03
Delta,418,6,418,778,110.25,134,140.78
Delta,418,6,418,794,117.67,134,147.65
Delta,418,6,418,795,112.50,123,152.43
Delta,418,6,418,862,316.75,363,181.91
Delta,418,6,418,863,248.50,297,181.96
Delta,418,6,418,866,337.00,384,186.47
Delta,418,6,418,867,265.25,304,187.20
Delta,418,6,418,882,345.25,409,191.63
Delta,418,6,418,883,259.75,304,192.72
Delta,418,6,418,897,339.75,418,197.07
Delta,418,6,418,898,238.50,284,198.27
Delta,418,6,418,903,316.00,418,201.92
Delta,418,6,418,904,216.75,248,203.08
Delta,418,6,418,918,337.75,466,206.93
Delta,418,6,418,919,227.00,287,207.92
Delta,418,6,418,936,261.50,315,213.56
Delta,418,6,418,945,281.00,321,219.51
Delta,418,6,418,951,359.00,421,224.29
Delta,418,6,418,952,269.50,321,225.43
Delta,418,6,418,959,338.00,412,230.39
Delta,418,6,418,960,256.25,282,231.71
Delta,418,6,418,974,319.25,390,236.82
Delta,418,6,418,975,264.00,288,238.02
Delta,418,6,418,992,326.00,374,243.34
Delta,418,6,418,993,278.25,311,244.31
Delta,418,6,418,1008,347.00,390,249.69
Delta,418,6,418,1009,287.25,313,250.69
Delta,418,6,418,1025,357.75,416,255.60
Delta,418,6,418,1026,288.50,313,256.59
Delta,418,6,418,1036,352.25,416,261.16
Delta,418,6,418,1037,283.25,312,262.13
Delta,418,6,418,1051,307.50,378,266.60
Delta,418,6,418,1052,256.25,303,267.91
Delta,418,6,418,1067,243.25,298,273.16
Delta,418,6,418,1068,226.67,251,272.63
Delta,418,6,418,991,494.25,637,242.22
Delta,418,6,418,1003,745.75,828,247.97
Delta,418,6,418,1004,726.00,793,253.78
Delta,418,6,418,1005,637.00,781,254.49
Delta,418,6,418,1006,775.50,926,261.09
Delta,418,6,418,1007,490.75,635,248.46
Delta,418,6,418,1024,492.25,599,254.58
Delta,418,6,418,884,201.50,230,193.80
Delta,418,6,418,905,181.50,201,204.24
Delta,418,6,418,920,182.75,203,208.94
Delta,418,6,418,938,175.50,182,215.63
Delta,418,6,418,947,182.50,189,221.33
Delta,418,6,418,954,189.50,198,227.22
Delta,418,6,418,962,201.00,223,233.30
Delta,418,6,418,977,207.25,223,239.21
Delta,418,6,418,995,211.25,226,244.75
Delta,418,6,418,1011,217.75,226,250.88
Delta,418,6,418,1012,217.50,229,251.56
Delta,418,6,418,1231,268.25,382,322.76
Delta,418,6,418,1232,227.25,238,327.16
Delta,418,6,418,1246,339.75,465,327.48
Delta,418,6,418,1247,246.75,274,331.48
Delta,418,6,418,1249,245.00,265,339.52
Delta,418,6,418,1250,264.25,282,343.94
Delta,418,6,418,1263,365.00,473,333.60
Delta,418,6,418,1264,252.50,274,336.73
Delta,418,6,418,1265,249.75,265,339.92
Delta,418,6,418,1268,347.50,473,339.54
Delta,418,6,418,1269,258.50,289,342.23
Delta,418,6,418,1270,272.75,297,345.87
Delta,418,6,418,1271,286.25,301,349.50
Delta,418,6,418,1280,354.00,488,345.03
Delta,418,6,418,1281,265.50,289,347.58
Delta,418,6,418,1251,288.00,313,346.40
Delta,418,6,418,1252,312.00,341,349.42
Delta,418,6,418,1330,354.00,508,379.40
Delta,418,6,418,1331,322.00,335,380.89
Delta,418,6,418,1332,341.00,355,382.90
Delta,418,6,418,1343,358.25,508,385.93
Delta,418,6,418,1344,320.50,333,388.16
Delta,418,6,418,1345,341.00,355,388.64
Delta,418,6,418,869,171.50,195,189.30
Delta,418,6,418,935,384.25,469,212.71
Delta,418,6,418,944,381.50,469,218.59
Delta,418,6,418,1066,507.50,831,273.87
Delta,418,6,418,1106,367.00,688,281.09
Delta,418,6,418,1140,250.67,384,285.36
Delta,418,6,418,1141,259.67,384,288.27
Delta,418,6,418,1159,315.00,384,289.83
Delta,418,6,418,1160,251.50,351,295.08
Delta,418,6,418,1191,295.25,351,299.16
Delta,418,6,418,1194,289.75,338,305.33
Delta,418,6,418,1214,348.50,466,309.99
Delta,418,6,418,1230,360.25,477,318.39
Delta,418,6,418,1292,379.25,488,352.61
Delta,418,6,418,1306,312.00,384,363.31
Delta,418,6,418,1318,316.67,384,370.01
Delta,418,6,418,1342,500.25,888,383.35
Delta,418,6,418,1352,362.50,554,389.56
Delta,418,6,418,1362,534.75,656,397.16
Delta,418,6,418,1363,408.33,554,394.58
Delta,418,6,418,1373,614.25,895,404.47
Delta,418,6,418,1375,423.00,526,408.43
Delta,418,6,418,1380,539.25,748,413.70
Delta,418,6,418,1381,476.50,636,416.27
Delta,418,6,418,1383,787.25,1221,420.27
Delta,418,6,418,1386,1894.75,3451,421.69
Delta,418,6,418,1387,1909.75,3451,426.41
Delta,418,6,418,1390,1908.25,3092,431.96
Delta,418,6,418,570,38.25,79,3.47
Delta,418,6,418,572,65.50,150,11.22
Delta,418,6,418,573,7.50,39,14.84
Delta,418,6,418,574,13.67,39,20.07
Delta,418,6,418,604,209.33,457,37.67
Delta,418,6,418,605,57.00,124,35.44
Delta,418,6,418,618,453.75,1109,44.85
Delta,418,6,418,622,460.75,1109,51.63
Delta,418,6,418,623,294.50,498,57.59
Delta,418,6,418,624,311.50,560,63.93
Delta,418,6,418,634,377.00,734,71.98
Delta,418,6,418,644,443.50,840,79.35
Delta,418,6,418,660,366.50,840,85.01
Delta,418,6,418,670,255.50,436,91.28
Delta,418,6,418,682,231.00,329,101.25
Delta,418,6,418,692,155.33,239,105.30
Delta,418,6,418,711,171.75,239,109.79
Delta,418,6,418,723,241.50,503,116.40
Delta,418,6,418,748,247.25,503,122.63
Delta,418,6,418,713,73.67,78,119.46
Delta,418,6,418,725,79.25,83,123.73
Delta,418,6,418,726,78.33,81,126.37
Delta,418,6,418,750,86.25,93,129.03
Delta,418,6,418,751,82.25,88,131.45
Delta,418,6,418,752,82.75,89,132.14
Delta,418,6,418,773,205.25,246,128.85
Delta,418,6,418,774,137.00,223,131.77
Delta,418,6,418,775,96.75,109,134.16
