RiverName,DivNdId,DivNdElev,DivNdOpt,ElemID,ElemElevAv,ElemElevMax,DistAct,DistNear,NearNdElev
Calaveras,165,47,166,547,63,77,6.03,5.02,77
Calaveras,165,47,166,548,95.5,116,11.24,3.50,77
Calaveras,165,47,166,565,61.75,79,4.22,4.22,47
Calaveras,165,47,166,566,98.75,123,11.47,3.64,116
Calaveras,165,47,166,584,59.5,79,9.63,9.63,47
Calaveras,165,47,166,585,94.75,123,14.90,9.72,116
Stanislaus,146,410,153,592,24.75,32,52.48,15.49,47
Stanislaus,146,410,153,593,46,65,46.00,11.55,63
Stanislaus,146,410,153,599,76.75,94,38.11,8.31,63
Stanislaus,146,410,153,600,123.25,173,29.91,8.67,79
Stanislaus,146,410,153,601,177.5,221,21.92,9.34,113
Stanislaus,146,410,153,602,213,235,15.66,7.54,113
Stanislaus,152,63,153,610,30.75,47,12.33,7.86,47
Stanislaus,152,63,153,611,51.75,65,5.96,5.74,47
Stanislaus,152,63,153,612,75.25,94,3.88,3.88,63
Stanislaus,152,63,153,613,101.5,133,10.61,3.11,79
Stanislaus,146,410,153,616,207.6666667,235,7.07,3.15,180
Stanislaus,146,410,153,617,324.5,445,4.70,2.77,208
Stanislaus,152,63,153,629,112.25,157,13.33,3.14,100
Stanislaus,146,410,153,630,150,230,19.34,4.90,113
Stanislaus,146,410,153,631,196.5,263,11.30,3.83,180
Stanislaus,146,410,153,632,274,445,6.02,3.46,180
Stanislaus,146,410,153,633,357.25,445,3.24,3.24,410
Stanislaus,152,63,153,639,132.75,157,16.77,6.42,100
Stanislaus,146,410,153,640,188.75,230,19.13,8.57,113
Stanislaus,146,410,153,641,224.5,263,12.39,7.31,180
Tuolumne,138,108,141,651,129.6666667,154,16.34,6.50,112
Stanislaus,146,410,153,652,157.75,214,20.26,12.67,113
Stanislaus,152,63,153,614,132.25,183,18.54,5.26,100
San Joaquin B,145,27,156,626,30.75,47,4.45,4.45,27
Stanislaus,152,63,153,627,62.33333333,77,2.90,2.90,63
Stanislaus,152,63,153,628,83,113,5.67,4.03,79
San Joaquin B,145,27,156,636,40,53,4.74,4.74,27
Stanislaus,152,63,153,637,64.5,81,6.94,6.94,63
Stanislaus,152,63,153,638,94.5,113,10.10,7.72,79
Tuolumne,142,63,141,646,47,63,4.92,4.92,63
Tuolumne,142,63,141,647,49.66666667,63,5.37,5.06,33
Tuolumne,142,63,141,648,69,81,5.02,5.02,63
Tuolumne,142,63,141,649,94.75,112,11.23,3.41,79
Tuolumne,138,108,141,650,122.25,142,15.58,3.71,112
Tuolumne,138,108,141,656,128.25,142,6.34,5.30,142
Tuolumne,138,108,141,657,177,241,3.54,3.54,108
Tuolumne,142,63,141,663,71.5,85,5.64,5.52,79
Tuolumne,142,63,141,664,97.25,113,12.89,3.69,112
Tuolumne,142,63,141,665,131,157,20.92,3.11,142
Tuolumne,137,224,141,666,166.5,259,13.11,5.07,108
Tuolumne,137,224,141,667,235.5,351,4.05,4.05,224
