ie,davis_class_any,davis_class_code,mean_ie_lu_price,med_ie_lu_price,sd_ie_lu_price,count_ie_lu_price
1,developed,4,17552.736,17552.736,18489.141,2
2,native vegetation,8,24708.156,24708.156,,1
2,pasture,11,21307.646,21307.646,,1
3,forest,6,12409.188,12409.188,,1
3,native vegetation,8,3968.3684,3438.1646,1844.2817,5
3,pasture,11,25825.336,11009.175,24158.072,17
4,native vegetation,8,14495.739,14495.739,17710.525,2
4,pasture,11,33860.953,25030.756,32392.75,5
6,developed,4,434710.44,434710.44,,1
6,forest,6,10756.544,10756.544,,1
6,native vegetation,8,30419.602,33333.332,14481.446,3
6,pasture,11,26913.074,13435.374,31795.324,15
7,forest,6,15476.22,15476.22,,1
7,native vegetation,8,1707.3171,1707.3171,,1
7,pasture,11,22771.555,22771.555,,1
8,developed,4,57895.277,57895.277,,1
8,pasture,11,39059.465,26063.084,35212.938,11
9,native vegetation,8,21001.596,19646.654,2346.8274,3
9,pasture,11,24695.785,14003.467,23742.875,16
9,wetland,16,110736.05,110736.05,,1
10,native vegetation,8,15851.759,13902.063,17628.51,5
10,pasture,11,9469.498,4095.5349,18786.098,20
11,native vegetation,8,5544.3389,2647.3022,13079.973,41
11,pasture,11,33694.352,17289.057,36023.035,3
12,native vegetation,8,18998.596,13026.437,19010.35,5
12,pasture,11,1205.0677,1205.0677,,1
13,other,10,47727.645,47727.645,,1
13,pasture,11,8950.3262,8950.3262,,1
15,forest,6,7355.7935,7355.7935,,1
15,native vegetation,8,19855.662,19855.662,,1
15,pasture,11,28055.01,12358.913,33563.781,13
16,pasture,11,2181.4109,1001.875,2863.3115,9
17,native vegetation,8,4698.1274,4338.7129,3742.219,15
17,pasture,11,4450.6758,4651.1875,1663.3704,3
18,native vegetation,8,6579.3955,6022.2988,2289.1487,3
18,pasture,11,9219.4023,6515.812,10846.085,6
19,native vegetation,8,7119.1274,7119.1274,,1
19,pasture,11,18348.936,10408.206,22324.705,13
20,alfalfa,1,15113.907,15113.907,6385.1313,2
20,forest,6,9029.9932,9029.9932,,1
20,orchard,9,13026.438,13026.438,,1
20,pasture,11,56752.043,19435.725,115599.1,19
20,wetland,16,20669.488,10666.667,23120.08,3
21,pasture,11,3475.1677,1690.4534,4160.1206,4
23,native vegetation,8,1705.2264,1705.2264,649.33588,2
23,pasture,11,6873,7596.8823,4219.5313,3
24,native vegetation,8,1246.0767,1246.0767,,1
24,pasture,11,21186.461,21186.461,10503.899,2
25,native vegetation,8,9762.6807,9762.6807,11649.329,2
25,pasture,11,19964.984,5950.6694,26685.086,13
26,developed,4,9749.6631,9749.6631,,1
26,pasture,11,25047.285,18100.865,28565.881,10
